codigo_omm,station_name,state,state_initials,region,latitude,longitude,altitude,altitude_type,start_operation_date,station_situation,data_situation
83687,LAVRAS,Minas_Gerais,MG,Sudeste,-21.75,-45,918.84,meters,1911-02-18,operante,operante
83242,LENCOIS,Bahia,BA,Nordeste,-12.56,-41.38,438.74,meters,1931-09-01,operante,operante
83766,LONDRINA,Parana,PR,Sul,-23.31,-51.13,566.00,meters,1953-12-11,operante,operante
82296,LUZILANDIA LAG DO PIAUI,Piaui,PI,Nordeste,-3.41,-42.28,49.00,meters,1972-05-18,operante,operante
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante
82594,MACAU,Rio_Grande_do_Norte,RN,Nordeste,-5.15,-36.57,32.00,meters,1908-11-18,operante,operante
82994,MACEIO,Alagoas,AL,Nosdeste,-9.66,-35.7,64.50,meters,1909-01-01,operante,operante
83683,MACHADO,Minas_Gerais,MG,Sudeste,-21.68,-45.94,873.35,meters,1961-09-01,operante,operante
82331,MANAUS,Amazonas,AM,Norte,-3.1,-60.01,61.25,meters,1910-01-01,operante,operante
82533,MANICORE,Amazonas,AM,Norte,-5.81,-61.3,50.00,meters,1928-01-01,operante,operante
82562,MARABA,Para,PA,Norte,-5.36,-49.13,95.00,meters,1952-01-01,operante,operante
83767,MARINGA,Parana,PR,Sul,-23.4,-51.91,542.00,meters,1953-12-01,operante,operante
83214,MATUPA,Mato_Grosso,MT,Centro-Oeste,-10.25,-54.91,285.00,meters,1986-12-15,operante,operante
82181,MONTE ALEGRE,Para,PA,Norte,-2,-54.1,145.85,meters,1974-03-09,operante,operante
83090,MONTE SANTO,Bahia,BA,Nordeste,-10.43,-39.29,464.60,meters,1913-05-15,operante,operante
82792,MONTEIRO,Paraiba,PB,Nordeste,-7.88,-37.06,603.66,meters,1940-01-14,operante,operante
83437,MONTES CLAROS,Minas_Gerais,MG,Sudeste,-16.68,-43.84,652.00,meters,1912-01-01,operante,operante
82588,MORADA NOVA,Ceara,CE,Nordeste,-5.11,-38.36,43.62,meters,1962-10-01,operante,operante
83184,MORRO DO CHAPEU,Bahia,BA,Nordeste,-11.21,-41.21,1003.27,meters,1913-01-13,operante,operante
